ID	year of publication	Title	Author	Published in	Country 	Main method	Extracted from	Environment
131	1991	Moss mites (Oribatida, Acari) in mosses from some Danish spring areas. 	Gjelstrup, P. - Hansen, P. - Warncke, E.	Natura Jutlandica, Aarhus. 23(3): 33-44.	Denmark	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 67	
132	1996	Edaphic oribatid mites (Cryptostigmata: Acarina) associated with an aquatic moss on sub-Antarctic South Georgia. 	Pugh, P. J. A.	Pedobiologia, 40 (2). 113-117.	Antarctica	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 67	
134	1995	Candidate natural enemies for control of Rhizoglyphus robini Claparede (Acari: Astigmata) in lily bulbs: exploration in the field and prey-selection in the laboratory. 	Lesna, I. - Sabelis, M. W. - Bolland, H. R. - Conijn, C. G. M. 	Experimental & applied acarology, 19(11), 655-669.	Netherlands	ensayo de laboratorio test de preferencia	in Krantz, G. W. & Walter D. E. (2009) pp. 67	Agroecosystem
136	1983	Studies on Lasioseius scapulatus, a mesostigmatid mite predaceous on nematodes. 	Imbriani, I. - Mankau, R.	Journal of Nematology, 15(4), 523 - 528		Laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 67	Agroecosystem
137	1971	Feeding by Caeculid Mites on Fungus Demonstrated with Radioactive Tracers	Crossley, D. A. - Merchant, V. A.	Annals of the Entomological Society of America. 64(4): 760 - 762	United States	laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 67	Rocks
138	1986	Consumption of nematodes by fungivorous mites, Tyrophagus spp.(Acarina: Astigmata: Acaridae). 	Walter, D. E. - Hudgens, R. A. - Freckman, D. W.	Oecologia, 70(3), 357-361.	United States	laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 67	Grassland
140	1977	Pflanzenparasitische Nematoden als Beute der Wurzelmilbe Rhizoglyphus echinopus (Acarina, Tyroglyphidae). 	Sturhan, D. - Hampel, G.	Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz, 50(8): 115-118.		laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 67	Agroecosystem
143	1997	Heatherellidae — a new family of Mesostigmata (Acari: Parasitiformes) based on two new species from rainforest litter in Australia. 	Walter, D. E. 	International Journal of Acarology, 23(3): 167–175.	Australia	observation	in Krantz, G. W. & Walter D. E. (2009) pp. 68	Forest
144	1988	An ecological study of Janetiella pyriformis (Berlese, 1920), a phoretic Uropodina from decomposing organic matter (Acari: Anactinotrichida)	Athias-Binche, F. - Habersaat, U.	Mitteilungen der Schweizerischen Entomologischen Gesellschaft, 61(3-4): 377-390.			in Krantz, G. W. & Walter D. E. (2009) pp. 135	Agroecosystem
145	1990	Interactions between nematodes and predatory mites in raw humus soil: a microcosm experiment. 	Martikainen, E., & Huhta, V.	Revue d'Ecologie et de Biologie du Sol. 27(1): 13-20.		Preference test, laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 140	
146	1961	Ökologische Untersuchungen von edaphischen Gamasiden (Acarina, Parasitiformes). 	Karg, W. 	Pedobiologia. 1: 53-74.			in Krantz, G. W. & Walter D. E. (2009) pp. 143	
147	1965	Systematics and biology of the genus Veigaia (Acarina: Mesostigmata) from Maryland. 	Hurlbutt, H. W. 	Acarologia, 7(4), 598-623.	United States	laboratory assay	in Krantz, G. W. & Walter D. E. (2009) pp. 143	
