ID;CLASE;SUBCLASE;SUPERORDER;ORDER;SUBORDER;SUPERCOHORT;COHORT;SUBCOHORT;SUPERFAMILY;FAMILY;GENERA;SPECIE;G_SP;RESOURCE;METHOD;TAXONOMIC_LEVEL;Cita
2620;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;calcarata;Oribatella calcarata;litter;isotopes;SPECIE;233
2621;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;quadricornuta;Oribatella quadricornuta;sap. fun.;isotopes;SPECIE;233
2622;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;foliata;Oribatella foliata;sap. fun.;isotopes;SPECIE;233
2623;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Chamobatidae;Chamobates;cuspidatus;Chamobates cuspidatus;sap. fun.;isotopes;SPECIE;233
2624;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oripodoidea;Oribatulidae;Oribatula;tibialis;Oribatula tibialis;sap. fun.;isotopes;SPECIE;233
2625;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Peloppiidae;Ceratoppia;bipilis;Ceratoppia bipilis;sap. fun.;isotopes;SPECIE;233
2626;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oripodoidea;Oribatulidae;Oribatula;tibialis;Oribatula tibialis;sap. fun.;isotopes;SPECIE;233
2627;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Carabodoidea;Carabodidae;Carabodes;areolatus;Carabodes areolatus;sap. fun.;isotopes;SPECIE;233
2628;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;quadricornuta;Oribatella quadricornuta;bac.;isotopes;SPECIE;233
2629;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oribatelloidea;Oribatellidae;Oribatella;foliata;Oribatella foliata;bac.;isotopes;SPECIE;233
2630;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Chamobatidae;Chamobates;cuspidatus;Chamobates cuspidatus;bac.;isotopes;SPECIE;233
2631;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oripodoidea;Oribatulidae;Oribatula;tibialis;Oribatula tibialis;bac.;isotopes;SPECIE;233
2632;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Gustavioidea;Peloppiidae;Ceratoppia;bipilis;Ceratoppia bipilis;bac.;isotopes;SPECIE;233
2633;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Oripodoidea;Oribatulidae;Oribatula;tibialis;Oribatula tibialis;bac.;isotopes;SPECIE;233
2634;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Carabodoidea;Carabodidae;Carabodes;areolatus;Carabodes areolatus;bac.;isotopes;SPECIE;233
2635;Arachnida;Acari;Parasitiformes;Opilioacarida;;;;;Opilioacaroidea;Opilioacaridae;Opilioacarus;sp.;Opilioacarus sp.;sap. fun.;obs.;GENERA;238
2636;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Nothrina;;Crotonioidea;Trhypochthoniidae;Archegozetes;longisetosus;Archegozetes longisetosus;bac.;f.p.;SPECIE;240
2637;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Nothrina;;Crotonioidea;Trhypochthoniidae;Archegozetes;longisetosus;Archegozetes longisetosus;sap. fun.;f.p.;SPECIE;240
2638;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Plateremaeoidea;Gymnodamaeidae;Gymnodamaeus;bicostatus;Gymnodamaeus bicostatus;sap. fun.;gut;SPECIE;242
2639;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Plateremaeoidea;Gymnodamaeidae;Gymnodamaeus;bicostatus;Gymnodamaeus bicostatus;bac.;gut;SPECIE;242
2640;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Nothrina;;Crotonioidea;Camisiidae;Platynothrus;peltifer;Platynothrus peltifer;litter;gut;SPECIE;242
2641;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Nothrina;;Crotonioidea;Camisiidae;Platynothrus;peltifer;Platynothrus peltifer;bac.;gut;SPECIE;242
2642;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Damaeoidea;Damaeidae;Spatiodamaeus;verticilipes;Spatiodamaeus verticilipes;sap. fun.;gut;SPECIE;242
2643;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Mixonomatides;;;Phthiracaroidea;Phthiracaridae;Phthiracarus;boresetosus;Phthiracarus boresetosus;litter;isotopes;SPECIE;243
2644;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Propelops;alaskensis;Propelops alaskensis;litter;isotopes;SPECIE;243
2645;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Phenopelopoidea;Phenopelopidae;Propelops;alaskensis;Propelops alaskensis;sap. fun.;isotopes;SPECIE;243
2646;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Eremaeoidea;Eremaeidae;Eueremaeus;sp.;Eueremaeus sp.;sap. fun.;isotopes;SPECIE;243
2647;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Epiicriae;Zerconoidea;Zerconidae;Zercon;alaskaensis;Zercon alaskaensis;nemat.;isotopes;SPECIE;243
2648;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Epiicriae;Zerconoidea;Zerconidae;Zercon;alaskaensis;Zercon alaskaensis;sap. fun.;isotopes;SPECIE;243
2649;Arachnida;Acari;Acariformes;Mesostigmata;Monogynaspida;;Gamasina;Dermanyssiae;Ascoidea;Ascidae;Zerconopsis;sp.;Zerconopsis sp.;nemat.;isotopes;GENERA;243
2650;Arachnida;Acari;Acariformes;Mesostigmata;Monogynaspida;;Gamasina;Dermanyssiae;Ascoidea;Ascidae;Zerconopsis;sp.;Zerconopsis sp.;sap. fun.;isotopes;GENERA;243
2651;Arachnida;Acari;Parasitiformes;Mesostigmata;Sejida;;;;Sejoidea;Sejidae;Sejus;sp.;Sejus sp.;nemat.;isotopes;GENERA;243
2652;Arachnida;Acari;Parasitiformes;Mesostigmata;Sejida;;;;Sejoidea;Sejidae;Sejus;sp.;Sejus sp.;sap. fun.;isotopes;GENERA;243
2653;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Ceratozetidae;Ceratozetes;sp.;Ceratozetes sp.;sap. fun.;isotopes;GENERA;243
2654;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Desmonomatides;Brachypylina;;Ceratozetoidea;Ceratozetidae;Ceratozetes;sp.;Ceratozetes sp.;nemat.;isotopes;GENERA;243
2655;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Veigaioidea;Veigaiidae;Veigaia;kochi;Veigaia kochi;coll.;isotopes;SPECIE;243
2656;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Veigaioidea;Veigaiidae;Veigaia;kochi;Veigaia kochi;sap. fun.;isotopes;SPECIE;243
2657;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Veigaioidea;Veigaiidae;Veigaia;kochi;Veigaia kochi;nemat.;isotopes;SPECIE;243
2658;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Epiicriae;Zerconoidea;Zerconidae;Parazercon;radiatus;Parazercon radiatus;nemat.;isotopes;SPECIE;243
2659;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;Epiicriae;Zerconoidea;Zerconidae;Skeironozercon;tricavus;Skeironozercon tricavus;nemat.;isotopes;SPECIE;243
2660;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Uropodina;Uropodiae;Polyaspidoidea;Trachytidae;Trachytes;sp.;Trachytes sp.;nemat.;isotopes;GENERA;243
2661;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;vibrissatus;Gamasellus vibrissatus;coll.;isotopes;SPECIE;243
2662;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;vibrissatus;Gamasellus vibrissatus;mites;isotopes;SPECIE;243
2663;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;vibrissatus;Gamasellus vibrissatus;eggs;isotopes;SPECIE;243
2664;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;vibrissatus;Gamasellus vibrissatus;larvae;isotopes;SPECIE;243
2665;Arachnida;Acari;Parasitiformes;Mesostigmata;Monogynaspida;;Gamasina;;Rhodacaroidea;Ologamasidae;Gamasellus;vibrissatus;Gamasellus vibrissatus;enchy.;isotopes;SPECIE;243
2666;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Tetracanthella;pacifica;Tetracanthella pacifica;sap. fun.;gut;SPECIE;244
2667;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Tetracanthella;pacifica;Tetracanthella pacifica;humus;gut;SPECIE;244
2668;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Tetracanthella;pacifica;Tetracanthella pacifica;litter;gut;SPECIE;244
2669;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Pseudanurophorus;binoculatus;Pseudanurophorus binoculatus;sap. fun.;gut;SPECIE;244
2670;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Pseudanurophorus;binoculatus;Pseudanurophorus binoculatus;humus;gut;SPECIE;244
2671;Entognatha;Collembola;;Arthropleona;;;;;Entomobryoidea;Isotomidae;Pseudanurophorus;binoculatus;Pseudanurophorus binoculatus;litter;gut;SPECIE;244
2672;Entognatha;Collembola;;Neelipleona;;;;;;Neelidae;Megalothorax;minimus;Megalothorax minimus;sap. fun.;gut;SPECIE;244
2673;Entognatha;Collembola;;Neelipleona;;;;;;Neelidae;Megalothorax;minimus;Megalothorax minimus;humus;gut;SPECIE;244
2674;Entognatha;Collembola;;Neelipleona;;;;;;Neelidae;Megalothorax;minimus;Megalothorax minimus;litter;gut;SPECIE;244
2675;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;pacifica;Mesaphorura pacifica;sap. fun.;gut;SPECIE;244
2676;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;pacifica;Mesaphorura pacifica;carrion;gut;SPECIE;244
2677;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;pacifica;Mesaphorura pacifica;humus;gut;SPECIE;244
2678;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;yosii;Mesaphorura yosii;sap. fun.;gut;SPECIE;244
2679;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;yosii;Mesaphorura yosii;carrion;gut;SPECIE;244
2680;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Onychiuridae;Mesaphorura;yosii;Mesaphorura yosii;humus;gut;SPECIE;244
2681;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Willemia;intermedia;Willemia intermedia;sap. fun.;gut;SPECIE;244
2682;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Willemia;denisi;Willemia denisi;sap. fun.;gut;SPECIE;244
2683;Entognatha;Collembola;;Arthropleona;;;;;Poduroidea;Hypogastruridae;Willemia;denisi;Willemia denisi;bac.;gut;SPECIE;244
2684;Entognatha;Collembola;;Symphypleona;;;;;;Arrhopalitidae;Arrhopalites;diversus;Arrhopalites diversus;sap. fun.;gut;SPECIE;244
2685;Entognatha;Collembola;;Symphypleona;;;;;;Arrhopalitidae;Arrhopalites;diversus;Arrhopalites diversus;humus;gut;SPECIE;244
2686;Entognatha;Collembola;;Symphypleona;;;;;;Arrhopalitidae;Arrhopalites;diversus;Arrhopalites diversus;litter;gut;SPECIE;244
